MSA,Net_Absorption_Units_Annual,Absorption_Rate_Pct,Occupancy_Rate_Pct,Vacancy_Rate_Pct,Avg_Effective_Rent_USD,YoY_Rent_Growth_Pct,Total_Units_Under_Construction,Units_Delivered_2024,Units_Delivered_2025,Market_Tier_Absorption,Market_Trend,Concession_Prevalence,Absorption_Data_Source,Market_Commentary
"Pueblo, CO",100,55.0,91.0,9.0,1100,1.5,50,40,45,Tertiary,Stable,Moderate,CoStar,Limited new supply and modest demand keep absorption moderate; concessions remain moderate.
"Raleigh, NC",3500,90.0,96.5,3.5,1700,7.0,4500,3000,3200,Primary,Improving,Low,CBRE,Strong tech and corporate relocation driving robust absorption and rent growth; new supply is well absorbed.
"Rapid City, SD",80,50.0,90.0,10.0,950,1.0,30,20,25,Tertiary,Stable,Moderate,Yardi,Small market with limited new supply; absorption and rent growth remain modest.
"Reading, PA",250,65.0,92.5,7.5,1250,2.5,150,100,110,Tertiary,Stable,Moderate,CoStar,Steady demand with moderate new supply; concessions remain moderate.
"Redding, CA",120,60.0,91.5,8.5,1300,2.0,80,60,70,Tertiary,Stable,Moderate,Yardi,Limited new supply and moderate demand; absorption steady with moderate concessions.
"Reno, NV",1800,85.0,95.5,4.5,1650,6.5,2200,1500,1600,Primary,Improving,Low,JLL,Strong tech and logistics sector growth driving high absorption and rent growth; new supply is well absorbed.
"Richmond, VA",1100,78.0,94.8,5.2,1450,4.0,1300,900,950,Secondary,Improving,Low,CBRE,Diverse economy supports steady absorption and rent growth; concessions remain low.
"Riverside, CA",2500,88.0,95.8,4.2,1800,6.8,3000,2200,2300,Primary,Improving,Low,Cushman & Wakefield,Strong population inflow and job growth fueling robust absorption and rent growth; concessions minimal.
"Roanoke, VA",180,62.0,92.3,7.7,1200,2.2,90,70,75,Tertiary,Stable,Moderate,Yardi,Stable market with modest absorption and rent growth; concessions remain moderate due to limited demand.
"Rochester, MN",320,85.0,94.2,5.8,1350,3.2,180,150,120,Tertiary,Improving,Moderate,CoStar,"Rochester's multifamily market benefits from steady healthcare-driven demand, supporting moderate rent growth and strong absorption."
"Rochester, NY",-150,60.0,89.5,10.5,1100,-1.5,90,100,80,Secondary,Softening,High,RealPage,"Rochester, NY faces headwinds from slower economic growth and elevated vacancies, leading to negative absorption and rent declines."
"Rockford, IL",75,70.0,91.0,9.0,950,1.0,50,40,30,Tertiary,Stable,Moderate,Yardi,Rockford's market remains stable with modest rent growth and steady absorption amid limited new supply.
"Sacramento, CA",2200,90.0,95.0,5.0,1900,5.5,3200,2800,2500,Primary,Improving,Low,CBRE,"Sacramento continues to attract strong demand driven by affordability relative to Bay Area, supporting robust absorption and rent growth."
"Salinas, CA",180,75.0,93.0,7.0,1700,3.0,120,100,90,Secondary,Stable,Moderate,CoStar,"Salinas benefits from spillover demand from Monterey Bay area, maintaining steady absorption and moderate rent growth."
"Salt Lake City, UT",3500,95.0,96.0,4.0,1600,6.0,4000,3500,3000,Primary,Improving,Low,JLL,Salt Lake City remains a top growth market with strong tech and finance sector expansion fueling high absorption and rent growth.
"San Antonio, TX",4200,92.0,95.5,4.5,1300,4.0,3800,3400,3100,Primary,Improving,Low,RealPage,"San Antonio's multifamily market is thriving due to strong population growth and job creation, driving solid absorption and rent gains."
"San Bernardino, CA",900,85.0,94.0,6.0,1500,4.5,1100,1000,900,Secondary,Improving,Moderate,CoStar,"San Bernardino benefits from affordability relative to LA, supporting healthy absorption and rent growth."
"San Diego, CA",1800,88.0,95.2,4.8,2300,3.8,2100,1900,1700,Primary,Stable,Low,CBRE,San Diego's market remains stable with steady demand and moderate rent growth amid ongoing new supply deliveries.
"San Francisco, CA",1200,80.0,93.5,6.5,3500,2.5,1500,1400,1300,Primary,Stable,Moderate,JLL,San Francisco is recovering from pandemic-related softness with moderate absorption and rent growth as tech sector stabilizes.
"Santa Barbara, CA",150,70.0,92.0,8.0,2800,1.5,80,70,60,Secondary,Stable,Moderate,CoStar,Santa Barbara's market is steady with limited new supply and moderate rent growth driven by lifestyle demand.
"Santa Cruz, CA",130,75.0,93.0,7.0,2600,2.0,90,85,80,Secondary,Stable,Moderate,Yardi,"Santa Cruz maintains steady demand with limited new supply, supporting stable occupancy and modest rent growth."
"Santa Fe, NM",60,65.0,90.5,9.5,1400,1.0,40,35,30,Tertiary,Stable,Moderate,RealPage,Santa Fe's market is stable with modest rent growth and moderate absorption amid limited new development.
"Sarasota, FL",1100,90.0,95.5,4.5,1600,5.0,900,850,800,Secondary,Improving,Low,Cushman & Wakefield,"Sarasota benefits from strong migration and lifestyle demand, driving robust absorption and rent growth."
"Savannah, GA",700,88.0,94.8,5.2,1250,4.2,600,550,500,Secondary,Improving,Low,CBRE,Savannah's multifamily market is strengthening due to port-related economic growth and population inflows.
"Scottsdale, AZ",1200,85.0,95.2,4.8,1850,6.5,1500,800,900,Secondary,Improving,Low,RealPage,Strong demand driven by tech and healthcare growth; new supply is being absorbed steadily with rent growth remaining robust.
"Scranton, PA",150,70.0,92.0,8.0,950,1.5,50,40,30,Tertiary,Stable,Moderate,CoStar,Market remains stable with modest rent growth; limited new supply is being absorbed at a moderate pace.
"Seattle, WA",3500,90.0,96.0,4.0,2500,5.8,4500,3000,3500,Primary,Improving,Low,CBRE,Strong tech sector employment growth fuels demand; new supply is being absorbed quickly with healthy rent growth.
"Shreveport, LA",-100,40.0,88.5,11.5,850,-1.0,100,120,80,Tertiary,Softening,High,Yardi,Economic headwinds and oversupply have led to negative absorption and increased concessions.
"Sioux Falls, SD",400,80.0,94.0,6.0,1100,3.0,200,150,180,Tertiary,Improving,Moderate,CoStar,Steady population growth supports absorption; rent growth is moderate with manageable new supply.
"South Bend, IN",180,75.0,93.5,6.5,900,2.0,70,60,50,Tertiary,Stable,Moderate,Yardi,Stable market with consistent demand; new supply is being absorbed at a steady pace.
"Spokane, WA",600,85.0,94.8,5.2,1300,4.5,300,250,280,Secondary,Improving,Low,CBRE,In-migration and affordability relative to Seattle drive strong demand; new supply is well absorbed.
"Springfield, IL",100,65.0,91.5,8.5,850,1.0,40,30,25,Tertiary,Stable,Moderate,CoStar,Modest demand with limited new supply; market remains stable with slight rent growth.
"Springfield, MA",350,80.0,93.8,6.2,1400,3.5,180,160,170,Secondary,Improving,Low,JLL,Proximity to Boston and local economic growth support absorption and rent growth.
"Springfield, MO",300,78.0,94.2,5.8,950,3.0,150,130,140,Secondary,Improving,Moderate,Yardi,Growing healthcare and education sectors drive steady demand; absorption remains healthy.
"St. Cloud, MN",120,70.0,92.5,7.5,1050,2.0,60,50,55,Tertiary,Stable,Moderate,CoStar,Stable market with moderate rent growth; new supply is absorbed at a steady but cautious pace.
"St. George, UT",500,88.0,95.0,5.0,1350,7.0,250,200,220,Secondary,Improving,Low,RealPage,Rapid population growth and limited supply drive strong absorption and rent growth.
"St. Louis, MO",1800,82.0,94.5,5.5,1300,4.0,1200,900,1000,Primary,Improving,Moderate,CBRE,Steady economic growth supports absorption; new supply is being absorbed with moderate concessions.
"Stamford, CT",700,87.0,95.5,4.5,2700,5.5,400,350,380,Primary,Improving,Low,JLL,Strong demand from NYC commuters and corporate relocations; rent growth remains healthy.
"Stockton, CA",900,80.0,94.0,6.0,1600,4.5,600,500,550,Secondary,Improving,Moderate,RealPage,Affordability relative to Bay Area drives demand; new supply is being absorbed steadily.
"Syracuse, NY",150,65.0,92.3,7.7,1100,2.5,120,80,50,Tertiary,Stable,Moderate,CoStar,Syracuse continues to see steady demand with moderate rent growth supported by stable employment and limited new supply.
"Tacoma, WA",900,85.0,95.1,4.9,1850,4.8,1100,850,900,Secondary,Improving,Low,RealPage,Tacoma benefits from spillover demand from Seattle with strong rent growth and high occupancy despite significant new deliveries.
"Tallahassee, FL",400,75.0,93.5,6.5,1250,3.2,300,250,200,Tertiary,Improving,Moderate,Yardi,"Tallahassee's multifamily market is supported by university and government employment, driving steady absorption and rent growth."
"Tampa, FL",5200,90.0,96.2,3.8,1850,6.0,4500,4000,4200,Primary,Improving,Low,CBRE,Tampa remains a top growth market with strong population inflows and robust rent growth despite heavy new supply.
"Terre Haute, IN",50,60.0,91.0,9.0,850,1.0,40,30,20,Tertiary,Stable,Moderate,CoStar,Terre Haute's market remains stable with modest rent growth and limited new development activity.
"Toledo, OH",300,70.0,92.5,7.5,950,2.0,200,150,100,Tertiary,Stable,Moderate,Yardi,Toledo shows steady absorption with moderate rent growth amid a balanced supply pipeline.
"Topeka, KS",80,65.0,91.8,8.2,900,1.5,60,50,40,Tertiary,Stable,Moderate,CoStar,Topeka's market remains stable with modest rent growth and moderate concessions.
"Trenton, NJ",220,75.0,93.0,7.0,1400,3.5,180,160,140,Secondary,Improving,Low,JLL,"Trenton benefits from proximity to NYC and Philadelphia, supporting improving fundamentals and rent growth."
"Tucson, AZ",1100,80.0,94.8,5.2,1350,4.0,900,850,800,Secondary,Improving,Low,RealPage,Tucson's market is strong with solid rent growth driven by population growth and limited new supply.
"Tulsa, OK",350,70.0,92.7,7.3,1050,2.8,300,250,200,Secondary,Stable,Moderate,CBRE,Tulsa's market remains stable with moderate rent growth and balanced supply-demand dynamics.
"Tyler, TX",180,75.0,93.2,6.8,1100,3.0,150,130,120,Tertiary,Improving,Moderate,Yardi,Tyler is experiencing improving fundamentals with steady absorption and rent growth supported by local economic expansion.
"Virginia Beach, VA",800,85.0,95.0,5.0,1600,4.5,700,650,600,Secondary,Improving,Low,JLL,"Virginia Beach benefits from military and tourism demand, supporting strong occupancy and rent growth."
"Visalia, CA",120,70.0,92.0,8.0,1300,3.5,100,90,80,Tertiary,Stable,Moderate,CoStar,Visalia's market remains stable with moderate rent growth amid limited new supply.
"Waco, TX",400,80.0,94.5,5.5,1150,4.0,350,300,280,Secondary,Improving,Low,RealPage,Waco's multifamily market is improving with strong demand driven by university growth and regional economic expansion.
"Washington, DC",4500,88.0,95.5,4.5,2500,5.5,4000,3800,4200,Primary,Improving,Low,CBRE,Washington DC remains a strong primary market with robust rent growth and high occupancy despite significant new supply.
"Wichita, KS",320,85.0,94.2,5.8,850,3.2,150,120,100,Tertiary,Stable,Moderate,Yardi,Wichita's multifamily market remains stable with steady rent growth and moderate new supply absorption amid modest construction activity.
"Wilmington, DE",280,90.0,95.0,5.0,1350,4.5,200,180,160,Secondary,Improving,Low,CoStar,"Wilmington benefits from strong demand driven by proximity to Philadelphia and corporate relocations, supporting rent growth and low vacancy."
"Wilmington, NC",450,95.0,96.1,3.9,1200,5.0,300,250,220,Secondary,Improving,Low,RealPage,"Strong population growth and in-migration continue to drive robust absorption and rent growth in Wilmington, NC."
"Winston-Salem, NC",380,88.0,95.5,4.5,1050,3.8,180,160,140,Secondary,Stable,Moderate,CBRE,Winston-Salem's market shows steady demand with moderate new deliveries keeping vacancy in check and supporting moderate rent growth.
"Worcester, MA",500,92.0,95.8,4.2,1600,4.0,350,300,280,Secondary,Improving,Low,JLL,"Worcester benefits from spillover demand from Boston, with strong absorption and rent growth supported by limited vacancy."
"York, PA",150,80.0,93.5,6.5,900,2.5,80,70,60,Tertiary,Stable,Moderate,Yardi,York's market remains stable with moderate absorption and rent growth amid steady but limited new supply.
"Youngstown, OH",-50,40.0,89.0,11.0,700,-1.0,20,15,10,Tertiary,Softening,High,CoStar,"Youngstown continues to face challenges with elevated vacancy and negative absorption, reflecting economic headwinds and limited demand."
