CapRate_ClassA_Stab_High,CapRate_ClassA_Stab_Low,CapRate_ClassA_Stab_Range,CapRate_ClassA_VA_High,CapRate_ClassA_VA_Low,CapRate_ClassA_VA_Range,CapRate_ClassB_Stab_High,CapRate_ClassB_Stab_Low,CapRate_ClassB_Stab_Range,CapRate_ClassB_VA_High,CapRate_ClassB_VA_Low,CapRate_ClassC_Stab_High,CapRate_ClassC_Stab_Low,CapRate_ClassC_Stab_Range,CapRate_Data_Source,CapRate_Notes,CapRate_Overall_Market,CapRate_Source_Verified,CapRate_Trend,Investor_Demand,MSA,Market_Tier,Typical_Price_Per_Unit_ClassB_USD,Typical_Price_Per_Unit_USD
6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,6.75,6.25,6.25% - 6.75%,7.25,6.75,,,,Marcus & Millichap,Mid-secondary market with stable cap rates and moderate investor interest driven by steady economic fundamentals.,6.1,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Des Moines, IA",Secondary,,110000
6.25,5.5,5.50% - 6.25%,6.75,6.25,6.25% - 6.75%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,CBRE,"Consistent with CBRE benchmarks, Detroit shows stable cap rates with moderate investor demand amid ongoing urban revitalization.",6.0,CBRE H2 2025 Survey (Verified),Stable,Moderate,"Detroit, MI",Primary,,85000
7.75,7.25,7.25% - 7.75%,8.25,7.75,7.75% - 8.25%,8.25,7.75,7.75% - 8.25%,8.75,8.25,9.25,8.75,8.75% - 9.25%,Marcus & Millichap Q1 2026,Elevated cap rates reflecting limited investor interest and smaller market fundamentals.,7.75,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Dothan, AL",Tertiary,55000.0,75000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,CoStar,Small secondary market with stable cap rates and moderate investor interest supported by government employment.,5.7,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Dover, DE",Tertiary,,120000
7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.0,7.5,,,,Marcus & Millichap,Tertiary market with limited investor demand and expanding cap rates due to economic headwinds.,7.0,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Duluth, MN",Tertiary,,70000
5.5,5.0,5.00% - 5.50%,6.0,5.5,5.50% - 6.00%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,JLL,Strong Sun Belt secondary market with stable cap rates and robust investor demand driven by tech and education sectors.,5.4,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Durham, NC",Secondary,,180000
7.25,6.75,6.75% - 7.25%,7.75,7.25,7.25% - 7.75%,7.75,7.25,7.25% - 7.75%,8.25,7.75,8.75,8.25,8.25% - 8.75%,JLL H2 2025,Stable cap rates with moderate demand driven by regional economic stability.,7.25,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Eau Claire, WI",Tertiary,70000.0,90000
6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,6.75,6.25,6.25% - 6.75%,7.25,6.75,,,,CBRE,Mid-secondary Sun Belt market with stable cap rates and moderate investor interest amid steady population growth.,6.1,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"El Paso, TX",Secondary,,95000
8.0,7.5,7.50% - 8.00%,8.5,8.0,8.00% - 8.50%,8.5,8.0,8.00% - 8.50%,9.0,8.5,9.5,9.0,9.00% - 9.50%,CoStar Q1 2026,Cap rates expanding due to economic challenges and very limited investor interest.,8.0,AI Research (CBRE/M&M/JLL calibrated),Expanding,Very Low,"Elmira, NY",Tertiary,45000.0,65000
7.25,6.75,6.75% - 7.25%,7.75,7.25,7.25% - 7.75%,7.75,7.25,7.25% - 7.75%,8.25,7.75,,,,Marcus & Millichap,Tertiary market with low investor demand and expanding cap rates due to economic challenges and limited growth.,7.1,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Erie, PA",Tertiary,,60000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,CoStar,Secondary West Coast market with stable cap rates and moderate investor demand supported by university and tech sectors.,5.7,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Eugene, OR",Secondary,,160000
7.5,7.0,7.00% - 7.50%,8.0,7.5,7.50% - 8.00%,8.0,7.5,7.50% - 8.00%,8.5,8.0,9.0,8.5,8.50% - 9.00%,Marcus & Millichap H2 2025,Stable cap rates with low investor demand due to remote location and limited growth.,7.5,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Eureka, CA",Tertiary,65000.0,85000
6.75,6.25,6.25% - 6.75%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.25,7.5,,,,Marcus & Millichap,Smaller tertiary market with limited investor demand and higher risk premiums.,6.85,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Evansville, IN",Tertiary,,65000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,7.5,7.0,7.00% - 7.50%,CBRE H2 2025,Strong demand driven by proximity to Seattle with stable cap rates in secondary gateway market.,5.75,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Everett, WA",Secondary,140000.0,180000
7.75,7.25,7.25% - 7.75%,8.25,7.75,7.75% - 8.25%,8.5,8.0,8.00% - 8.50%,9.0,8.5,9.75,9.0,9.00% - 9.75%,Marcus & Millichap,Remote location with limited investor interest keeps cap rates elevated.,7.75,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Fairbanks, AK",Tertiary,65000.0,85000
6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,CBRE,Strong regional hub with steady demand and moderate cap rate expansion.,6.1,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Fargo, ND",Secondary,,95000
6.5,6.0,6.00% - 6.50%,7.0,6.5,6.50% - 7.00%,7.0,6.5,6.50% - 7.00%,7.5,7.0,,,,Marcus & Millichap,Growing tertiary market with moderate investor interest and rising cap rates.,6.4,AI Research (CBRE/M&M/JLL calibrated),Expanding,Moderate,"Fayetteville, AR",Secondary,,85000
6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,6.75,6.25,6.25% - 6.75%,7.25,6.75,,,,JLL,Military-driven economy supports steady demand with stable cap rates.,6.1,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Fayetteville, NC",Secondary,,90000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,CBRE,Strong Sun Belt secondary market with solid investor interest and stable cap rates.,5.75,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Flagstaff, AZ",Tertiary,,140000
7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.0,7.5,,,,CoStar,Challenged tertiary market with weak fundamentals and expanding cap rates.,6.9,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Flint, MI",Tertiary,,45000
5.5,5.0,5.00% - 5.50%,6.0,5.5,5.50% - 6.00%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,JLL,Strong Sun Belt/Front Range market with solid investor demand and stable cap rates.,5.5,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Fort Collins, CO",Secondary,,160000
5.5,5.0,5.00% - 5.50%,6.0,5.5,5.50% - 6.00%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Robust Sun Belt market with strong investor demand and stable cap rates.,5.5,AI Research (CBRE/M&M/JLL calibrated),Stable,Very High,"Fort Myers, FL",Tertiary,,180000
7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.0,7.5,,,,Marcus & Millichap,Smaller tertiary market with limited investor interest and expanding cap rates.,6.9,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Fort Smith, AR",Tertiary,,55000
6.5,6.0,6.00% - 6.50%,7.0,6.5,6.50% - 7.00%,7.0,6.5,6.50% - 7.00%,7.5,7.0,,,,CoStar,Mid-secondary market with moderate investor demand and slight cap rate expansion.,6.4,AI Research (CBRE/M&M/JLL calibrated),Expanding,Moderate,"Fort Wayne, IN",Secondary,,70000
5.5,5.0,5.00% - 5.50%,6.0,5.5,5.50% - 6.00%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,"Strong Washington, DC suburban market with stable cap rates and solid demand.",5.5,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Frederick, MD",Tertiary,,140000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,JLL,Growing DC exurban market with moderate investor interest and stable cap rates.,5.75,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Fredericksburg, VA",Secondary,,120000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,Marcus & Millichap,Fresno remains a tertiary market with steady demand but higher risk premiums.,5.85,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Fresno, CA",Secondary,,160000
5.5,5.0,5.00% - 5.50%,6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,JLL,University-driven market with steady rental demand supporting moderate cap rates.,5.65,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Gainesville, FL",Secondary,,140000
7.5,7.0,7.00% - 7.50%,8.0,7.5,7.50% - 8.00%,8.5,8.0,8.00% - 8.50%,9.0,8.5,9.75,9.0,9.00% - 9.75%,JLL,Limited liquidity and economic growth pressure cap rates higher.,7.5,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Glens Falls, NY",Tertiary,60000.0,80000
7.5,7.0,7.00% - 7.50%,8.0,7.5,7.50% - 8.00%,8.5,8.0,8.00% - 8.50%,9.0,8.5,9.75,9.0,9.00% - 9.75%,CoStar,Stable local economy but limited investor competition.,7.5,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Grand Forks, ND",Tertiary,65000.0,85000
6.75,6.25,6.25% - 6.75%,7.5,7.0,7.00% - 7.50%,7.75,7.25,7.25% - 7.75%,8.25,7.75,,,,Marcus & Millichap,Remote tertiary market with limited liquidity and rising cap rates due to economic uncertainty.,6.85,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Grand Junction, CO",Tertiary,,85000
6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,7.0,6.5,6.50% - 7.00%,7.5,7.0,,,,CBRE,Strong secondary market with balanced fundamentals and steady investor interest.,6.0,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Grand Rapids, MI",Secondary,,120000
7.75,7.25,7.25% - 7.75%,8.25,7.75,7.75% - 8.25%,8.75,8.25,8.25% - 8.75%,9.25,8.75,10.0,9.25,9.25% - 10.00%,Marcus & Millichap,Smaller market with limited multifamily inventory and investor interest.,7.75,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Grants Pass, OR",Tertiary,65000.0,90000
7.5,7.0,7.00% - 7.50%,8.0,7.5,7.50% - 8.00%,8.5,8.0,8.00% - 8.50%,9.0,8.5,9.75,9.0,9.00% - 9.75%,CoStar,Stable but slow growth market with limited multifamily activity.,7.5,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Great Falls, MT",Tertiary,60000.0,80000
6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,7.25,6.75,6.75% - 7.25%,7.75,7.25,8.5,7.75,7.75% - 8.50%,CBRE,Proximity to Denver supports steady investor interest and moderate compression.,6.25,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Greeley, CO",Secondary,95000.0,140000
6.5,6.0,6.00% - 6.50%,7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,8.0,7.5,,,,CoStar,Mid-secondary market with softening demand and cap rate expansion.,6.5,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Green Bay, WI",Tertiary,,85000
6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,7.0,6.5,6.50% - 7.00%,7.5,7.0,,,,Marcus & Millichap,Growing secondary market with stable fundamentals and consistent investor interest.,6.0,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Greensboro, NC",Secondary,,110000
6.5,6.0,6.00% - 6.50%,7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,8.0,7.5,8.75,8.0,8.00% - 8.75%,Marcus & Millichap,University and medical sector drive steady demand and investor interest.,6.5,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Greenville, NC",Secondary,65000.0,90000
6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,7.0,6.5,6.50% - 7.00%,7.5,7.0,8.25,7.5,7.50% - 8.25%,CBRE,Strong population growth and corporate relocations sustain investor demand.,6.0,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Greenville, SC",Secondary,85000.0,120000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,7.25,6.75,,,,JLL,Strong Sun Belt secondary market with robust investor demand and stable cap rates.,5.85,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Greenville-Spartanburg, SC",Tertiary,,130000
6.75,6.25,6.25% - 6.75%,7.5,7.0,7.00% - 7.50%,7.75,7.25,7.25% - 7.75%,8.25,7.75,,,,CoStar,Tertiary Gulf Coast market with limited investor activity and rising cap rates.,6.85,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Gulfport, MS",Tertiary,,75000
6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,7.25,6.75,6.75% - 7.25%,7.75,7.25,,,,Marcus & Millichap,Secondary Maryland market benefiting from proximity to DC with moderate investor interest.,6.15,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Hagerstown, MD",Tertiary,,95000
6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,7.0,6.5,6.50% - 7.00%,7.5,7.0,,,,CBRE,Stable secondary market with balanced fundamentals and steady investor demand.,6.0,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Harrisburg, PA",Secondary,,105000
7.25,6.75,6.75% - 7.25%,7.75,7.25,7.25% - 7.75%,8.25,7.75,7.75% - 8.25%,8.75,8.25,9.5,8.75,8.75% - 9.50%,JLL,University town with steady rental demand but limited investor competition.,7.25,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Harrisonburg, VA",Tertiary,60000.0,85000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,7.25,6.75,,,,JLL,Northeast secondary market with moderate investor demand and stable cap rates.,5.85,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Hartford, CT",Secondary,,125000
6.75,6.25,6.25% - 6.75%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.0,7.5,,,,Marcus & Millichap,Smaller tertiary market with limited investor interest and higher risk premiums.,6.85,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Hattiesburg, MS",Tertiary,,65000
5.25,4.75,4.75% - 5.25%,5.75,5.25,5.25% - 5.75%,5.75,5.25,5.25% - 5.75%,6.25,5.75,,,,CBRE,Strong Sun Belt market with steady investor demand and moderate cap rate expansion.,5.1,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Henderson, NV",Secondary,,180000
6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,JLL,Mid-secondary market with moderate investor interest and slight cap rate expansion.,6.05,AI Research (CBRE/M&M/JLL calibrated),Expanding,Moderate,"High Point, NC",Tertiary,,85000
5.5,5.0,5.00% - 5.50%,6.0,5.5,5.50% - 6.00%,6.0,5.5,5.50% - 6.00%,6.5,6.0,,,,Marcus & Millichap,Coastal secondary market with steady demand and stable cap rates.,5.45,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Hilton Head, SC",Secondary,,140000
5.0,4.5,4.50% - 5.00%,5.5,5.0,5.00% - 5.50%,5.5,5.0,5.00% - 5.50%,6.0,5.5,,,,CBRE,Gateway coastal market with tight cap rates and strong investor demand.,4.85,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Honolulu, HI",Secondary,,350000
5.25,4.75,5.00% - 5.50%,5.5,5.0,5.50% - 6.00%,6.0,5.5,5.50% - 6.00%,6.5,6.0,,,,JLL,Large Sun Belt primary market with stable cap rates and strong investor interest.,5.4,CBRE H2 2025 Survey (Verified),Stable,High,"Houston, TX",Primary,,150000
7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.0,7.5,,,,CoStar,Tertiary market with limited investor demand and higher risk premiums.,6.85,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Huntington, WV",Tertiary,,45000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,Marcus & Millichap,Growing secondary market with stable cap rates and moderate investor interest.,5.75,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Huntsville, AL",Secondary,,95000
7.5,7.0,7.00% - 7.50%,8.0,7.5,7.50% - 8.00%,8.5,8.0,8.00% - 8.50%,9.0,8.5,9.75,9.0,9.00% - 9.75%,CoStar,Smaller market with stable fundamentals but limited investor activity.,7.5,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Idaho Falls, ID",Tertiary,60000.0,80000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,CBRE,Strong secondary market with consistent investor demand and stable cap rates.,5.75,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Indianapolis, IN",Secondary,,110000
6.5,6.0,6.00% - 6.50%,7.0,6.5,6.50% - 7.00%,7.0,6.5,6.50% - 7.00%,7.5,7.0,,,,CoStar,Tertiary market with expanding cap rates due to limited investor interest.,6.4,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Jackson, MS",Tertiary,,60000
7.5,7.0,7.00% - 7.50%,8.0,7.5,7.50% - 8.00%,8.5,8.0,8.00% - 8.50%,9.0,8.5,9.75,9.0,9.00% - 9.75%,Marcus & Millichap,Limited multifamily inventory and modest economic growth keep cap rates elevated.,7.5,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Jackson, TN",Tertiary,55000.0,75000
5.25,4.75,4.75% - 5.25%,5.75,5.25,5.25% - 5.75%,5.75,5.25,5.25% - 5.75%,6.25,5.75,,,,CBRE,Strong Sun Belt primary market with stable cap rates and robust investor demand.,5.1,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Jacksonville, FL",Secondary,,160000
6.75,6.25,6.25% - 6.75%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.0,7.5,8.5,8.0,8.00% - 8.50%,Marcus & Millichap,Steady demand with limited new supply keeps cap rates stable in this tertiary market.,6.5,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Johnson City, TN",Tertiary,65000.0,85000
7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.0,7.5,,,,Marcus & Millichap,Small tertiary market with limited investor activity and expanding cap rates.,6.85,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Jonesboro, AR",Tertiary,,50000
6.75,6.25,6.25% - 6.75%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.25,7.5,,,,Marcus & Millichap,Smaller tertiary market with limited investor interest and higher risk premiums.,6.85,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Joplin, MO",Tertiary,,65000
5.75,5.25,5.25% - 5.75%,6.5,6.0,6.00% - 6.50%,6.5,6.0,6.00% - 6.50%,7.0,6.5,7.5,7.0,7.00% - 7.50%,CBRE,Strong tourism-driven rental demand supports cap rate compression despite geographic constraints.,5.5,AI Research (CBRE/M&M/JLL calibrated),Compressing,High,"Kahului, HI",Secondary,220000.0,320000
6.5,6.0,6.00% - 6.50%,7.25,6.75,6.75% - 7.25%,7.0,6.5,6.50% - 7.00%,7.5,7.0,,,,CBRE,Mid-secondary market with steady demand and moderate cap rate expansion.,6.45,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Kalamazoo, MI",Tertiary,,85000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,JLL,Strong secondary market with balanced investor demand and stable cap rates.,5.75,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Kansas City, MO",Secondary,,120000
6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,6.75,6.25,6.25% - 6.75%,7.25,6.75,7.75,7.25,7.25% - 7.75%,JLL,Steady industrial growth supports multifamily fundamentals with stable cap rates.,6.0,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Kennewick, WA",Secondary,100000.0,140000
6.5,6.0,6.00% - 6.50%,7.0,6.5,6.50% - 7.00%,7.0,6.5,6.50% - 7.00%,7.5,7.0,,,,Marcus & Millichap,Military-driven tertiary market with moderate investor interest and slight cap rate expansion.,6.4,AI Research (CBRE/M&M/JLL calibrated),Expanding,Moderate,"Killeen, TX",Secondary,,75000
6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,CBRE,Growing secondary market with strong fundamentals and stable cap rates.,5.9,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Knoxville, TN",Secondary,,95000
6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,7.0,6.5,6.50% - 7.00%,7.5,7.0,8.0,7.5,7.50% - 8.00%,Marcus & Millichap,Energy sector volatility is causing slight cap rate expansion in this secondary market.,6.25,AI Research (CBRE/M&M/JLL calibrated),Expanding,Moderate,"Lafayette, LA",Secondary,85000.0,110000
6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,6.75,6.25,6.25% - 6.75%,7.25,6.75,,,,CoStar,Sun Belt tertiary market with rising cap rates due to supply growth.,6.1,AI Research (CBRE/M&M/JLL calibrated),Expanding,Moderate,"Lakeland, FL",Secondary,,90000
6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,JLL,Mid-secondary market with steady investor interest and stable cap rates.,5.85,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Lancaster, PA",Secondary,,95000
6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,6.75,6.25,6.25% - 6.75%,7.25,6.75,,,,CBRE,Mid-secondary market with balanced fundamentals and stable cap rates.,6.1,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Lansing, MI",Secondary,,85000
6.75,6.25,6.25% - 6.75%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.0,7.5,,,,Marcus & Millichap,Tertiary border market with limited investor demand and higher risk premiums.,6.7,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Laredo, TX",Tertiary,,60000
7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.0,7.5,8.5,8.0,8.00% - 8.50%,CoStar,Limited investor interest and slower rent growth keep cap rates elevated and stable.,6.75,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Las Cruces, NM",Tertiary,55000.0,70000
5.25,5.0,5.00% - 5.50%,5.25,5.0,5.50% - 6.00%,6.0,5.5,5.50% - 6.00%,6.5,6.0,,,,CBRE,Sun Belt primary market with strong investor demand and stable cap rates.,5.4,CBRE H2 2025 Survey (Verified),Stable,High,"Las Vegas, NV",Primary,,140000
6.5,6.0,6.00% - 6.50%,7.0,6.5,6.50% - 7.00%,7.0,6.5,6.50% - 7.00%,7.5,7.0,,,,CoStar,Smaller tertiary market with steady fundamentals and moderate investor interest.,6.4,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Lawrence, KS",Tertiary,,70000
7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.0,7.5,,,,Marcus & Millichap,Tertiary market with limited investor demand and expanding cap rates due to economic uncertainty.,6.85,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Lawton, OK",Tertiary,,55000
6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,7.0,6.5,6.50% - 7.00%,7.5,7.0,7.75,7.25,7.25% - 7.75%,CBRE,Strong university presence supports steady multifamily demand and stable cap rates.,6.25,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Lexington, KY",Secondary,90000.0,125000
5.75,5.5,5.50% - 5.75%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,Marcus & Millichap,Stable population growth supports moderate investor interest despite cap rate expansion.,6.1,AI Research (CBRE/M&M/JLL calibrated),Expanding,Moderate,"Lexington-Fayette, KY",Tertiary,,95000
5.5,5.25,5.25% - 5.50%,6.0,5.5,5.50% - 6.00%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Steady economic fundamentals keep cap rates stable with balanced demand.,5.7,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Lincoln, NE",Secondary,,90000
6.0,5.75,5.75% - 6.00%,6.5,6.0,6.00% - 6.50%,6.75,6.25,6.25% - 6.75%,7.25,6.75,,,,JLL,Slower rent growth and economic uncertainty weigh on investor appetite.,6.3,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Little Rock, AR",Secondary,,70000
7.25,6.75,6.75% - 7.25%,7.75,7.25,7.25% - 7.75%,7.75,7.25,7.25% - 7.75%,8.25,7.75,8.75,8.25,8.25% - 8.75%,Marcus & Millichap,Economic headwinds and limited liquidity are driving cap rate expansion.,7.0,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Longview, TX",Tertiary,50000.0,65000
5.5,4.75,4.25% - 4.75%,5.75,5.25,4.75% - 5.25%,5.5,5.0,5.00% - 5.50%,6.0,5.5,6.5,6.0,6.00% - 6.50%,CBRE,Robust demand and constrained supply continue to compress cap rates in this gateway market.,4.5,CBRE H2 2025 Survey (Verified),Compressing,Very High,"Los Angeles, CA",Primary,400000.0,550000
4.5,4.25,4.25% - 4.50%,5.0,4.5,4.50% - 5.00%,5.5,5.0,5.00% - 5.50%,6.0,5.5,,,,CBRE,Gateway market with strong demand and limited supply keeps cap rates tight.,4.6,AI Research (CBRE/M&M/JLL calibrated),Stable,Very High,"Los Angeles-Long Beach-Anaheim, CA",Tertiary,,350000
6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,6.75,6.25,6.25% - 6.75%,7.25,6.75,7.75,7.25,7.25% - 7.75%,JLL,Balanced market fundamentals support stable cap rates and steady investor interest.,6.0,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Louisville, KY",Secondary,85000.0,115000
