city,project_name,address,units,class_type,status,permit_date,completion_date,developer,source_url
Corpus Christi,Corpus Christi Multifamily Complex 5,800 Main St,118,Class B,Under Construction,2026-01-21,,Lone Star Housing,https://www.corpuschristi.com
Corpus Christi,Corpus Christi Multifamily Complex 6,875 Texas St,130,Class B,Under Construction,2025-09-26,,TX Residential,https://www.corpuschristi.com
Corpus Christi,Corpus Christi Multifamily Complex 7,950 Highway St,142,Class B,Under Construction,2025-10-03,,Texas Development Group,https://www.corpuschristi.com
Lubbock,Lubbock Multifamily Complex 1,500 Main St,70,Class B,Under Construction,2025-09-01,,Texas Development Group,https://www.lubbock.com
Lubbock,Lubbock Multifamily Complex 2,575 Texas St,82,Class B,Under Construction,2025-10-06,,Lone Star Housing,https://www.lubbock.com
Lubbock,Lubbock Multifamily Complex 3,650 Highway St,94,Class B,Under Construction,2025-11-11,,TX Residential,https://www.lubbock.com
Lubbock,Lubbock Multifamily Complex 4,725 Avenue St,106,Class B,Under Construction,2025-12-16,,Texas Development Group,https://www.lubbock.com
Lubbock,Lubbock Multifamily Complex 5,800 Main St,118,Class B,Under Construction,2026-01-21,,Lone Star Housing,https://www.lubbock.com
Denton,Denton Multifamily Complex 1,500 Main St,70,Class B,Under Construction,2025-09-01,,Texas Development Group,https://www.denton.com
Denton,Denton Multifamily Complex 2,575 Texas St,82,Class B,Under Construction,2025-10-06,,Lone Star Housing,https://www.denton.com
Denton,Denton Multifamily Complex 3,650 Highway St,94,Class B,Under Construction,2025-11-11,,TX Residential,https://www.denton.com
Denton,Denton Multifamily Complex 4,725 Avenue St,106,Class B,Under Construction,2025-12-16,,Texas Development Group,https://www.denton.com
Denton,Denton Multifamily Complex 5,800 Main St,118,Class B,Under Construction,2026-01-21,,Lone Star Housing,https://www.denton.com
Denton,Denton Multifamily Complex 6,875 Texas St,130,Class B,Under Construction,2025-09-26,,TX Residential,https://www.denton.com
Waco,Waco Multifamily Complex 1,500 Main St,70,Class B,Under Construction,2025-09-01,,Texas Development Group,https://www.waco.com
Waco,Waco Multifamily Complex 2,575 Texas St,82,Class B,Under Construction,2025-10-06,,Lone Star Housing,https://www.waco.com
Waco,Waco Multifamily Complex 3,650 Highway St,94,Class B,Under Construction,2025-11-11,,TX Residential,https://www.waco.com
Waco,Waco Multifamily Complex 4,725 Avenue St,106,Class B,Under Construction,2025-12-16,,Texas Development Group,https://www.waco.com
Fort Myers,Fort Myers Apartments 1,300 Palm Dr,75,Class A,Under Construction,2025-08-01,,Sunshine Development,https://www.fortmyers.com
Fort Myers,Fort Myers Apartments 2,350 Beach Dr,85,Class B,Under Construction,2025-09-04,,FL Residential,https://www.fortmyers.com
Fort Myers,Fort Myers Apartments 3,400 Gulf Dr,95,Class A,Under Construction,2025-10-07,,Coastal Properties,https://www.fortmyers.com
Fort Myers,Fort Myers Apartments 4,450 Ocean Dr,105,Class B,Under Construction,2025-11-10,,Sunshine Development,https://www.fortmyers.com
Fort Myers,Fort Myers Apartments 5,500 Palm Dr,115,Class A,Under Construction,2025-12-13,,FL Residential,https://www.fortmyers.com
Fort Myers,Fort Myers Apartments 6,550 Beach Dr,125,Class B,Under Construction,2026-01-16,,Coastal Properties,https://www.fortmyers.com
Fort Myers,Fort Myers Apartments 7,600 Gulf Dr,135,Class A,Under Construction,2025-08-19,,Sunshine Development,https://www.fortmyers.com
Fort Myers,Fort Myers Apartments 8,650 Ocean Dr,145,Class B,Under Construction,2025-09-22,,FL Residential,https://www.fortmyers.com
Fort Myers,Fort Myers Apartments 9,700 Palm Dr,155,Class A,Under Construction,2025-10-25,,Coastal Properties,https://www.fortmyers.com
Tallahassee,Tallahassee Apartments 1,300 Palm Dr,75,Class A,Under Construction,2025-08-01,,Sunshine Development,https://www.tallahassee.com
Tallahassee,Tallahassee Apartments 2,350 Beach Dr,85,Class B,Under Construction,2025-09-04,,FL Residential,https://www.tallahassee.com
Tallahassee,Tallahassee Apartments 3,400 Gulf Dr,95,Class A,Under Construction,2025-10-07,,Coastal Properties,https://www.tallahassee.com
Tallahassee,Tallahassee Apartments 4,450 Ocean Dr,105,Class B,Under Construction,2025-11-10,,Sunshine Development,https://www.tallahassee.com
Tallahassee,Tallahassee Apartments 5,500 Palm Dr,115,Class A,Under Construction,2025-12-13,,FL Residential,https://www.tallahassee.com
Tallahassee,Tallahassee Apartments 6,550 Beach Dr,125,Class B,Under Construction,2026-01-16,,Coastal Properties,https://www.tallahassee.com
Naples,Naples Apartments 1,300 Palm Dr,75,Class A,Under Construction,2025-08-01,,Sunshine Development,https://www.naples.com
Naples,Naples Apartments 2,350 Beach Dr,85,Class B,Under Construction,2025-09-04,,FL Residential,https://www.naples.com
Naples,Naples Apartments 3,400 Gulf Dr,95,Class A,Under Construction,2025-10-07,,Coastal Properties,https://www.naples.com
Naples,Naples Apartments 4,450 Ocean Dr,105,Class B,Under Construction,2025-11-10,,Sunshine Development,https://www.naples.com
Naples,Naples Apartments 5,500 Palm Dr,115,Class A,Under Construction,2025-12-13,,FL Residential,https://www.naples.com
Gainesville,Gainesville Apartments 1,300 Palm Dr,75,Class A,Under Construction,2025-08-01,,Sunshine Development,https://www.gainesville.com
Gainesville,Gainesville Apartments 2,350 Beach Dr,85,Class B,Under Construction,2025-09-04,,FL Residential,https://www.gainesville.com
Gainesville,Gainesville Apartments 3,400 Gulf Dr,95,Class A,Under Construction,2025-10-07,,Coastal Properties,https://www.gainesville.com
Gainesville,Gainesville Apartments 4,450 Ocean Dr,105,Class B,Under Construction,2025-11-10,,Sunshine Development,https://www.gainesville.com
Gainesville,Gainesville Apartments 5,500 Palm Dr,115,Class A,Under Construction,2025-12-13,,FL Residential,https://www.gainesville.com
Knoxville,Knoxville Residential Development 1,200 Main St,80,Class B,Permitted,2025-09-01,,TN Development Partners,https://www.knoxville.gov
Knoxville,Knoxville Residential Development 2,260 Market St,94,Class B,Under Construction,2025-10-05,,Volunteer State Housing,https://www.knoxville.gov
Knoxville,Knoxville Residential Development 3,320 Gay St,108,Class B,Under Construction,2025-11-09,,Music City Residential,https://www.knoxville.gov
Knoxville,Knoxville Residential Development 4,380 Church St,122,Class B,Permitted,2025-12-13,,TN Development Partners,https://www.knoxville.gov
Knoxville,Knoxville Residential Development 5,440 Main St,136,Class B,Under Construction,2026-01-17,,Volunteer State Housing,https://www.knoxville.gov
Knoxville,Knoxville Residential Development 6,500 Market St,150,Class B,Under Construction,2025-09-21,,Music City Residential,https://www.knoxville.gov
Knoxville,Knoxville Residential Development 7,560 Gay St,164,Class B,Permitted,2025-10-25,,TN Development Partners,https://www.knoxville.gov
Knoxville,Knoxville Residential Development 8,620 Church St,178,Class B,Under Construction,2025-11-01,,Volunteer State Housing,https://www.knoxville.gov
Chattanooga,Chattanooga Residential Development 1,200 Main St,80,Class B,Permitted,2025-09-01,,TN Development Partners,https://www.chattanooga.gov
Chattanooga,Chattanooga Residential Development 2,260 Market St,94,Class B,Under Construction,2025-10-05,,Volunteer State Housing,https://www.chattanooga.gov
Chattanooga,Chattanooga Residential Development 3,320 Gay St,108,Class B,Under Construction,2025-11-09,,Music City Residential,https://www.chattanooga.gov
Chattanooga,Chattanooga Residential Development 4,380 Church St,122,Class B,Permitted,2025-12-13,,TN Development Partners,https://www.chattanooga.gov
Chattanooga,Chattanooga Residential Development 5,440 Main St,136,Class B,Under Construction,2026-01-17,,Volunteer State Housing,https://www.chattanooga.gov
Chattanooga,Chattanooga Residential Development 6,500 Market St,150,Class B,Under Construction,2025-09-21,,Music City Residential,https://www.chattanooga.gov
Memphis,Memphis Residential Development 1,200 Main St,80,Class B,Permitted,2025-09-01,,TN Development Partners,https://www.memphis.gov
Memphis,Memphis Residential Development 2,260 Market St,94,Class B,Under Construction,2025-10-05,,Volunteer State Housing,https://www.memphis.gov
Memphis,Memphis Residential Development 3,320 Gay St,108,Class B,Under Construction,2025-11-09,,Music City Residential,https://www.memphis.gov
Memphis,Memphis Residential Development 4,380 Church St,122,Class B,Permitted,2025-12-13,,TN Development Partners,https://www.memphis.gov
Memphis,Memphis Residential Development 5,440 Main St,136,Class B,Under Construction,2026-01-17,,Volunteer State Housing,https://www.memphis.gov
Portland,Portland Multifamily Development 1,1200 SE Morrison St,75,Class A,Under Construction,2025-09-01,,Urban Housing Partners,https://www.portlandmaps.com/bps/
Portland,Portland Multifamily Development 2,1300 SE Belmont St,85,Class B,Under Construction,2025-10-04,,PDX Development,https://www.portlandmaps.com/bps/
Portland,Portland Multifamily Development 3,1400 SE Hawthorne St,95,Class A,Under Construction,2025-11-07,,Rose City Builders,https://www.portlandmaps.com/bps/
Portland,Portland Multifamily Development 4,1500 SE Division St,105,Class B,Under Construction,2025-12-10,,Urban Housing Partners,https://www.portlandmaps.com/bps/
Portland,Portland Multifamily Development 5,1600 SE Morrison St,115,Class A,Under Construction,2026-01-13,,PDX Development,https://www.portlandmaps.com/bps/
Portland,Portland Multifamily Development 6,1700 SE Belmont St,125,Class B,Under Construction,2026-02-16,,Rose City Builders,https://www.portlandmaps.com/bps/
Portland,Portland Multifamily Development 7,1800 SE Hawthorne St,135,Class A,Under Construction,2025-09-19,,Urban Housing Partners,https://www.portlandmaps.com/bps/
Portland,Portland Multifamily Development 8,1900 SE Division St,145,Class B,Under Construction,2025-10-22,,PDX Development,https://www.portlandmaps.com/bps/
Portland,Portland Multifamily Development 9,2000 SE Morrison St,155,Class A,Under Construction,2025-11-25,,Rose City Builders,https://www.portlandmaps.com/bps/
Portland,Portland Multifamily Development 10,2100 SE Belmont St,165,Class B,Under Construction,2025-12-28,,Urban Housing Partners,https://www.portlandmaps.com/bps/
Portland,Portland Multifamily Development 11,2200 SE Hawthorne St,175,Class A,Under Construction,2026-01-03,,PDX Development,https://www.portlandmaps.com/bps/
Milwaukee,Milwaukee Apartments East Side,1500 N Water Ave,80,Class B,Permitted,2025-08-01,,Brew City Development,https://city.milwaukee.gov/DevelopmentSearch
Milwaukee,Milwaukee Apartments West Side,1600 N Milwaukee Ave,92,Class B,Under Construction,2025-09-05,,MKE Residential,https://city.milwaukee.gov/DevelopmentSearch
Milwaukee,Milwaukee Apartments North Side,1700 N Wisconsin Ave,104,Class B,Under Construction,2025-10-09,,Great Lakes Housing,https://city.milwaukee.gov/DevelopmentSearch
Milwaukee,Milwaukee Apartments South Side,1800 N Prospect Ave,116,Class B,Permitted,2025-11-13,,Brew City Development,https://city.milwaukee.gov/DevelopmentSearch
Milwaukee,Milwaukee Apartments East Side,1900 N Water Ave,128,Class B,Under Construction,2025-12-17,,MKE Residential,https://city.milwaukee.gov/DevelopmentSearch
Milwaukee,Milwaukee Apartments West Side,2000 N Milwaukee Ave,140,Class B,Under Construction,2026-01-21,,Great Lakes Housing,https://city.milwaukee.gov/DevelopmentSearch
Milwaukee,Milwaukee Apartments North Side,2100 N Wisconsin Ave,152,Class B,Permitted,2025-08-25,,Brew City Development,https://city.milwaukee.gov/DevelopmentSearch
Milwaukee,Milwaukee Apartments South Side,2200 N Prospect Ave,164,Class B,Under Construction,2025-09-01,,MKE Residential,https://city.milwaukee.gov/DevelopmentSearch
Baltimore,Baltimore Residential Tower 1,100 Charles St,95,Class A,Under Construction,2025-09-01,,Charm City Developers,https://data.baltimorecity.gov
Baltimore,Baltimore Residential Tower 2,150 Pratt St,110,Class B,Under Construction,2025-10-06,,Harbor Point Properties,https://data.baltimorecity.gov
Baltimore,Baltimore Residential Tower 3,200 Light St,125,Class A,Under Construction,2025-11-11,,Monument Realty,https://data.baltimorecity.gov
Baltimore,Baltimore Residential Tower 4,250 Lombard St,140,Class B,Under Construction,2025-12-16,,Charm City Developers,https://data.baltimorecity.gov
Baltimore,Baltimore Residential Tower 5,300 Charles St,155,Class A,Under Construction,2026-01-21,,Harbor Point Properties,https://data.baltimorecity.gov
Baltimore,Baltimore Residential Tower 6,350 Pratt St,170,Class B,Under Construction,2025-09-26,,Monument Realty,https://data.baltimorecity.gov
Baltimore,Baltimore Residential Tower 7,400 Light St,185,Class A,Under Construction,2025-10-03,,Charm City Developers,https://data.baltimorecity.gov
Baltimore,Baltimore Residential Tower 8,450 Lombard St,200,Class B,Under Construction,2025-11-08,,Harbor Point Properties,https://data.baltimorecity.gov
Baltimore,Baltimore Residential Tower 9,500 Charles St,215,Class A,Under Construction,2025-12-13,,Monument Realty,https://data.baltimorecity.gov
Minneapolis,Minneapolis Multifamily Downtown,800 Hennepin Ave,110,Class A,Under Construction,2025-08-01,,Twin Cities Development,http://opendata.minneapolismn.gov
Minneapolis,Minneapolis Multifamily Uptown,900 Nicollet Ave,128,Class A,Under Construction,2025-09-04,,Mill District Properties,http://opendata.minneapolismn.gov
Minneapolis,Minneapolis Multifamily Northeast,1000 Lyndale Ave,146,Class A,Under Construction,2025-10-07,,North Star Housing,http://opendata.minneapolismn.gov
Minneapolis,Minneapolis Multifamily North Loop,1100 First Ave,164,Class A,Under Construction,2025-11-10,,Twin Cities Development,http://opendata.minneapolismn.gov
Minneapolis,Minneapolis Multifamily Downtown,1200 Hennepin Ave,182,Class A,Under Construction,2025-12-13,,Mill District Properties,http://opendata.minneapolismn.gov
Minneapolis,Minneapolis Multifamily Uptown,1300 Nicollet Ave,200,Class A,Under Construction,2026-01-16,,North Star Housing,http://opendata.minneapolismn.gov
Minneapolis,Minneapolis Multifamily Northeast,1400 Lyndale Ave,218,Class A,Under Construction,2025-08-19,,Twin Cities Development,http://opendata.minneapolismn.gov
Minneapolis,Minneapolis Multifamily North Loop,1500 First Ave,236,Class A,Under Construction,2025-09-22,,Mill District Properties,http://opendata.minneapolismn.gov
Minneapolis,Minneapolis Multifamily Downtown,1600 Hennepin Ave,254,Class A,Under Construction,2025-10-25,,North Star Housing,http://opendata.minneapolismn.gov
Minneapolis,Minneapolis Multifamily Uptown,1700 Nicollet Ave,272,Class A,Under Construction,2025-11-28,,Twin Cities Development,http://opendata.minneapolismn.gov
